text,source,text_clean,label
supaya nggk limit harus gmn ni biar bisa normal kembali,PlayStore,supaya nggk limit harus gmn ni biar bisa normal kembali,1
apk jelek,PlayStore,apk jelek,0
aplikasi penipu.. sy berlangganan lewat dana tp kenapa melakukan pemotongan berlangganan d gopay.. ga aman ini aplikasi...,PlayStore,aplikasi penipu sy berlangganan lewat dana tp kenapa melakukan pemotongan berlangganan d gopay ga aman ini aplikasi,1
busuk harus premium jgn download ga berguna,PlayStore,busuk harus premium jgn download ga berguna,1
menurut saya coba tambah kan fitur canggih supaya kita tau siapa yang menyimpan nomor kita dengan nama yang tersedia di get contact,PlayStore,menurut saya coba tambah kan fitur canggih supaya kita tau siapa yang menyimpan nomor kita dengan nama yang tersedia di get contact,1
suruh bayar mulu,PlayStore,suruh bayar mulu,1
"dulu aplikasi ini bagus dan sangat membantu. sekarang harus bayar, untuk tau penipuan saja kita harus bayar. kocakkk 🤣",PlayStore,dulu aplikasi ini bagus dan sangat membantu sekarang harus bayar untuk tau penipuan saja kita harus bayar kocakkk,2
dan pada akhirnya saya memutuskan untuk tidak bermain sesuai role akan dekanakan hukuman yang sangat berat,PlayStore,dan pada akhirnya saya memutuskan untuk tidak bermain sesuai role akan dekanakan hukuman yang sangat berat,1
"malah bongkar privasi,jelek",PlayStore,malah bongkar privasijelek,1
menurut saya ini apk nya kurang bagus utk ank ank dibawah umur jadi orang tua harus menjaga anak 👶,PlayStore,menurut saya ini apk nya kurang bagus utk ank ank dibawah umur jadi orang tua harus menjaga anak,2
gimana sih katanya bisa mengetahui siapa yang namain gua tapi abis itu kok malah gimana lah. yaelah scam ini biar banyak yang. download,PlayStore,gimana sih katanya bisa mengetahui siapa yang namain gua tapi abis itu kok malah gimana lah yaelah scam ini biar banyak yang download,1
kenapa di hp samsung saya gak ada pilihan kartupanggilan yang mengambang? Bukan yg Full layar. Di Samsung A07 saya masih tampilan yg full layar.. boleh tolong diperbaiki.,PlayStore,kenapa di hp samsung saya gak ada pilihan kartupanggilan yang mengambang bukan yg full layar di samsung a saya masih tampilan yg full layar boleh tolong diperbaiki,1
mengerikan,PlayStore,mengerikan,1
nama gw ga sesuai,PlayStore,nama gw ga sesuai,1
katanya disuruh bayar 21 rbu untuk yg premium tpi pas mau dibayar tdk bisa padhl saldo d dana sy 25 rbu..jgn2 tdk sesuai dgn yg dimaksud harus byr lebih lagi,PlayStore,katanya disuruh bayar  rbu untuk yg premium tpi pas mau dibayar tdk bisa padhl saldo d dana sy  rbujgn tdk sesuai dgn yg dimaksud harus byr lebih lagi,1
washap gw malah di rutt sama getkontak balikin washap gw bego dasar bego,PlayStore,washap gw malah di rutt sama getkontak balikin washap gw bego dasar bego,1
iklannya buruk banget nyebelin.,PlayStore,iklannya buruk banget nyebelin,0
woy gua udh byr tpi kok ga bisa,PlayStore,woy gua udh byr tpi kok ga bisa,1
